phi	phi_sigma	hist	AGN2
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
2.446531832535641e-05	1.729959249174703e-05	2.0	10.0
6.116329581339103e-05	2.7353057433334127e-05	5.0	10.0
7.339595497606924e-05	2.9963773145942922e-05	6.0	10.0
0.00015902456911481668	4.410547984631066e-05	13.0	10.0
0.00026911850157892054	5.737625732117434e-05	22.0	10.0
0.0002079552057655295	5.043654580990193e-05	17.0	10.0
0.00029358381990427694	5.9927546291885844e-05	24.0	10.0
0.0	0.0	0.0	14.14
0.0	0.0	0.0	14.14
2.446531832535641e-05	1.729959249174703e-05	2.0	14.14
0.0	0.0	0.0	14.14
0.00012232659162678206	3.8683064794591325e-05	10.0	14.14
4.893063665071282e-05	2.446531832535641e-05	4.0	14.14
0.00029358381990427694	5.9927546291885844e-05	24.0	14.14
0.00037921243404302437	6.810856374860584e-05	31.0	14.14
0.00047707370734445	7.639293198601523e-05	39.0	14.14
0.0004403757298564154	7.339595497606924e-05	36.0	14.14
0.0005015390256698064	7.832723637279983e-05	41.0	14.14
0.0	0.0	0.0	20.0
1.2232659162678205e-05	1.2232659162678205e-05	1.0	20.0
6.116329581339103e-05	2.7353057433334127e-05	5.0	20.0
8.562861413874744e-05	3.236457401746214e-05	7.0	20.0
9.786127330142564e-05	3.459918498349406e-05	8.0	20.0
0.00033028179739231155	6.356276154429484e-05	27.0	20.0
0.0004526083890190936	7.440836080064818e-05	37.0	20.0
0.0005749349806458756	8.386288606375282e-05	47.0	20.0
0.0007094942314353359	9.31611566643244e-05	58.0	20.0
0.0008195881638994398	0.00010012863058459898	67.0	20.0
0.0007094942314353359	9.31611566643244e-05	58.0	20.0
1.2232659162678205e-05	1.2232659162678205e-05	1.0	28.8
7.339595497606924e-05	2.9963773145942922e-05	6.0	28.8
8.562861413874744e-05	3.236457401746214e-05	7.0	28.8
9.786127330142564e-05	3.459918498349406e-05	8.0	28.8
0.0002079552057655295	5.043654580990193e-05	17.0	28.8
0.00037921243404302437	6.810856374860584e-05	31.0	28.8
0.0005260043439951628	8.021491044800192e-05	43.0	28.8
0.000831820823062118	0.00010087309161980386	68.0	28.8
0.0008073555047367616	9.937859282841972e-05	66.0	28.8
0.0006850289131099795	9.154083903184569e-05	56.0	28.8
0.0008685188005501526	0.00010307421822894468	71.0	28.8
2.446531832535641e-05	1.729959249174703e-05	2.0	40.0
8.562861413874744e-05	3.236457401746214e-05	7.0	40.0
9.786127330142564e-05	3.459918498349406e-05	8.0	40.0
0.00011009393246410385	3.669797748803462e-05	9.0	40.0
0.00035474711571766796	6.58748856205261e-05	29.0	40.0
0.0005137716848324847	7.927669208532047e-05	42.0	40.0
0.0006238656172965884	8.735865990102532e-05	51.0	40.0
0.0007461922089233706	9.554012226078401e-05	61.0	40.0
0.0007828901864114051	9.786127330142564e-05	64.0	40.0
0.0009908453921769346	0.00011009393246410385	81.0	40.0
0.0010642413471530039	0.00011409864883753966	87.0	40.0
