phi	phi_sigma	hist	SN2
3.669797748803462e-05	2.1187587181431613e-05	3.0	3.7
6.116329581339103e-05	2.7353057433334127e-05	5.0	3.7
8.562861413874744e-05	3.236457401746214e-05	7.0	3.7
0.00018348988744017308	4.737688521688426e-05	15.0	3.7
0.00035474711571766796	6.58748856205261e-05	29.0	3.7
0.0005260043439951628	8.021491044800192e-05	43.0	3.7
0.0006116329581339103	8.649796245873514e-05	50.0	3.7
0.0010275433696649693	0.000112114173127136	84.0	3.7
0.0012110332571051423	0.00012171342189272	99.0	3.7
0.0013455925078946027	0.00012829721166466578	110.0	3.7
0.001186567938779786	0.00012047772063105584	97.0	3.7
0.0	0.0	0.0	5.233
4.893063665071282e-05	2.446531832535641e-05	4.0	5.233
0.00014679190995213847	4.2375174362863225e-05	12.0	5.233
0.00018348988744017308	4.737688521688426e-05	15.0	5.233
0.00031804913822963335	6.237456777362575e-05	26.0	5.233
0.00035474711571766796	6.58748856205261e-05	29.0	5.233
0.0005504696623205192	8.205917230000239e-05	45.0	5.233
0.0007217268905980142	9.396083791253167e-05	59.0	5.233
0.0009296820963635436	0.00010664185020178235	76.0	5.233
0.0009052167780381872	0.00010522931299822724	74.0	5.233
0.0009419147555262218	0.0001073411485156072	77.0	5.233
0.0	0.0	0.0	7.4
1.2232659162678205e-05	1.2232659162678205e-05	1.0	7.4
6.116329581339103e-05	2.7353057433334127e-05	5.0	7.4
8.562861413874744e-05	3.236457401746214e-05	7.0	7.4
9.786127330142564e-05	3.459918498349406e-05	8.0	7.4
0.00033028179739231155	6.356276154429484e-05	27.0	7.4
0.0004526083890190936	7.440836080064818e-05	37.0	7.4
0.0005749349806458756	8.386288606375282e-05	47.0	7.4
0.0007094942314353359	9.31611566643244e-05	58.0	7.4
0.0008195881638994398	0.00010012863058459898	67.0	7.4
0.0007094942314353359	9.31611566643244e-05	58.0	7.4
0.0	0.0	0.0	10.47
0.0	0.0	0.0	10.47
0.0	0.0	0.0	10.47
3.669797748803462e-05	2.1187587181431613e-05	3.0	10.47
2.446531832535641e-05	1.729959249174703e-05	2.0	10.47
3.669797748803462e-05	2.1187587181431613e-05	3.0	10.47
0.00011009393246410385	3.669797748803462e-05	9.0	10.47
0.00018348988744017308	4.737688521688426e-05	15.0	10.47
0.00017125722827749488	4.5770419515922845e-05	14.0	10.47
0.00014679190995213847	4.2375174362863225e-05	12.0	10.47
0.00034251445655498976	6.472914803492428e-05	28.0	10.47
0.0	0.0	0.0	14.8
0.0	0.0	0.0	14.8
0.0	0.0	0.0	14.8
0.0	0.0	0.0	14.8
0.0	0.0	0.0	14.8
0.0	0.0	0.0	14.8
0.0	0.0	0.0	14.8
1.2232659162678205e-05	1.2232659162678205e-05	1.0	14.8
3.669797748803462e-05	2.1187587181431613e-05	3.0	14.8
7.339595497606924e-05	2.9963773145942922e-05	6.0	14.8
0.00013455925078946027	4.057114063090666e-05	11.0	14.8
