phi	phi_sigma	hist	OmegaM
2.446531832535641e-05	1.729959249174703e-05	2.0	0.1
3.669797748803462e-05	2.1187587181431613e-05	3.0	0.1
4.893063665071282e-05	2.446531832535641e-05	4.0	0.1
8.562861413874744e-05	3.236457401746214e-05	7.0	0.1
9.786127330142564e-05	3.459918498349406e-05	8.0	0.1
0.00012232659162678206	3.8683064794591325e-05	10.0	0.1
0.0002324205240908859	5.332092510089117e-05	19.0	0.1
0.00025688584241624233	5.6057086563568e-05	21.0	0.1
0.0004403757298564154	7.339595497606924e-05	36.0	0.1
0.00037921243404302437	6.810856374860584e-05	31.0	0.1
0.00028135116074159874	5.866577242631231e-05	23.0	0.1
0.0	0.0	0.0	0.2
6.116329581339103e-05	2.7353057433334127e-05	5.0	0.2
0.00011009393246410385	3.669797748803462e-05	9.0	0.2
0.00013455925078946027	4.057114063090666e-05	11.0	0.2
0.00017125722827749488	4.5770419515922845e-05	14.0	0.2
0.00037921243404302437	6.810856374860584e-05	31.0	0.2
0.00035474711571766796	6.58748856205261e-05	29.0	0.2
0.0005749349806458756	8.386288606375282e-05	47.0	0.2
0.0004403757298564154	7.339595497606924e-05	36.0	0.2
0.0006483309356219449	8.905510294241155e-05	53.0	0.2
0.00039144509320570257	6.919836996698811e-05	32.0	0.2
0.0	0.0	0.0	0.3
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.3
6.116329581339103e-05	2.7353057433334127e-05	5.0	0.3
8.562861413874744e-05	3.236457401746214e-05	7.0	0.3
9.786127330142564e-05	3.459918498349406e-05	8.0	0.3
0.00033028179739231155	6.356276154429484e-05	27.0	0.3
0.0004526083890190936	7.440836080064818e-05	37.0	0.3
0.0005749349806458756	8.386288606375282e-05	47.0	0.3
0.0007094942314353359	9.31611566643244e-05	58.0	0.3
0.0008195881638994398	0.00010012863058459898	67.0	0.3
0.0007094942314353359	9.31611566643244e-05	58.0	0.3
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.4
0.0	0.0	0.0	0.4
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.4
8.562861413874744e-05	3.236457401746214e-05	7.0	0.4
9.786127330142564e-05	3.459918498349406e-05	8.0	0.4
0.00018348988744017308	4.737688521688426e-05	15.0	0.4
0.00029358381990427694	5.9927546291885844e-05	24.0	0.4
0.00037921243404302437	6.810856374860584e-05	31.0	0.4
0.000599400298971232	8.562861413874744e-05	49.0	0.4
0.0005504696623205192	8.205917230000239e-05	45.0	0.4
0.0006360982764592667	8.821095969262132e-05	52.0	0.4
0.0	0.0	0.0	0.5
0.0	0.0	0.0	0.5
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.5
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.5
7.339595497606924e-05	2.9963773145942922e-05	6.0	0.5
9.786127330142564e-05	3.459918498349406e-05	8.0	0.5
0.00026911850157892054	5.737625732117434e-05	22.0	0.5
0.00026911850157892054	5.737625732117434e-05	22.0	0.5
0.0004403757298564154	7.339595497606924e-05	36.0	0.5
0.0005015390256698064	7.832723637279983e-05	41.0	0.5
0.0007584248680860487	9.632005456703092e-05	62.0	0.5
