phi	phi_sigma	hist	Sigma8
0.0	0.0	0.0	0.6
2.446531832535641e-05	1.729959249174703e-05	2.0	0.6
7.339595497606924e-05	2.9963773145942922e-05	6.0	0.6
3.669797748803462e-05	2.1187587181431613e-05	3.0	0.6
0.00018348988744017308	4.737688521688426e-05	15.0	0.6
0.00019572254660285129	4.893063665071282e-05	16.0	0.6
0.00039144509320570257	6.919836996698811e-05	32.0	0.6
0.0005137716848324847	7.927669208532047e-05	42.0	0.6
0.0007828901864114051	9.786127330142564e-05	64.0	0.6
0.0006972615722726578	9.235455138131817e-05	57.0	0.6
0.0009663800738515783	0.00010872625287864081	79.0	0.6
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.7
0.0	0.0	0.0	0.7
4.893063665071282e-05	2.446531832535641e-05	4.0	0.7
0.00013455925078946027	4.057114063090666e-05	11.0	0.7
0.00012232659162678206	3.8683064794591325e-05	10.0	0.7
0.00019572254660285129	4.893063665071282e-05	16.0	0.7
0.00035474711571766796	6.58748856205261e-05	29.0	0.7
0.0006116329581339103	8.649796245873514e-05	50.0	0.7
0.0007828901864114051	9.786127330142564e-05	64.0	0.7
0.000831820823062118	0.00010087309161980386	68.0	0.7
0.0009052167780381872	0.00010522931299822724	74.0	0.7
0.0	0.0	0.0	0.8
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.8
6.116329581339103e-05	2.7353057433334127e-05	5.0	0.8
8.562861413874744e-05	3.236457401746214e-05	7.0	0.8
9.786127330142564e-05	3.459918498349406e-05	8.0	0.8
0.00033028179739231155	6.356276154429484e-05	27.0	0.8
0.0004526083890190936	7.440836080064818e-05	37.0	0.8
0.0005749349806458756	8.386288606375282e-05	47.0	0.8
0.0007094942314353359	9.31611566643244e-05	58.0	0.8
0.0008195881638994398	0.00010012863058459898	67.0	0.8
0.0007094942314353359	9.31611566643244e-05	58.0	0.8
0.0	0.0	0.0	0.9
0.0	0.0	0.0	0.9
4.893063665071282e-05	2.446531832535641e-05	4.0	0.9
0.00014679190995213847	4.2375174362863225e-05	12.0	0.9
9.786127330142564e-05	3.459918498349406e-05	8.0	0.9
0.0002201878649282077	5.189877747524108e-05	18.0	0.9
0.00039144509320570257	6.919836996698811e-05	32.0	0.9
0.0004036777523683808	7.027127689375238e-05	33.0	0.9
0.0006360982764592667	8.821095969262132e-05	52.0	0.9
0.0006972615722726578	9.235455138131817e-05	57.0	0.9
0.0008195881638994398	0.00010012863058459898	67.0	0.9
0.0	0.0	0.0	1.0
2.446531832535641e-05	1.729959249174703e-05	2.0	1.0
3.669797748803462e-05	2.1187587181431613e-05	3.0	1.0
7.339595497606924e-05	2.9963773145942922e-05	6.0	1.0
0.00014679190995213847	4.2375174362863225e-05	12.0	1.0
0.0002201878649282077	5.189877747524108e-05	18.0	1.0
0.00029358381990427694	5.9927546291885844e-05	24.0	1.0
0.0004036777523683808	7.027127689375238e-05	33.0	1.0
0.0004893063665071283	7.736612958918265e-05	40.0	1.0
0.0005871676398085539	8.475034872572645e-05	48.0	1.0
0.0005504696623205192	8.205917230000239e-05	45.0	1.0
