phi	phi_sigma	hist	AGN1
6.14902044588761e-05	2.7499255424081526e-05	5.0	0.25
0.00015987453159307786	4.434121702304844e-05	13.0	0.25
0.00029515298140260526	6.0247850041462974e-05	24.0	0.25
0.000393537308536807	6.956822487906972e-05	32.0	0.25
0.0005534118401298849	8.249776627224458e-05	45.0	0.25
0.0004304314312121327	7.275619109156375e-05	35.0	0.25
0.00029515298140260526	6.0247850041462974e-05	24.0	0.25
0.00029515298140260526	6.0247850041462974e-05	24.0	0.25
0.0003566431858614814	6.622697700708895e-05	29.0	0.25
0.0002582588587272796	5.635670328622216e-05	21.0	0.25
0.0002459608178355044	5.499851084816305e-05	20.0	0.25
0.00013527844980952742	4.078798729446612e-05	11.0	0.5
0.0001844706133766283	4.7630107564823235e-05	15.0	0.5
0.00022136473605195394	5.217616865930228e-05	18.0	0.5
0.000393537308536807	6.956822487906972e-05	32.0	0.5
0.00041813339032035747	7.170928484078171e-05	34.0	0.5
0.0004919216356710088	7.777963995179598e-05	40.0	0.5
0.00034434514496970613	6.507511562588048e-05	28.0	0.5
0.00029515298140260526	6.0247850041462974e-05	24.0	0.5
0.00028285494051083005	5.897933218376446e-05	23.0	0.5
0.00027055689961905484	5.7682924813735474e-05	22.0	0.5
0.0003197490631861557	6.270795048612386e-05	26.0	0.5
3.689412267532566e-05	2.1300831658114343e-05	3.0	1.0
0.00020906669516017874	5.070612158495444e-05	17.0	1.0
0.00015987453159307786	4.434121702304844e-05	13.0	1.0
0.00046732555388745835	7.581021548234424e-05	38.0	1.0
0.0004919216356710088	7.777963995179598e-05	40.0	1.0
0.00023366277694372917	5.360591745077901e-05	19.0	1.0
0.00040583534942858227	7.064686633248915e-05	33.0	1.0
0.00034434514496970613	6.507511562588048e-05	28.0	1.0
0.0003197490631861557	6.270795048612386e-05	26.0	1.0
0.0003197490631861557	6.270795048612386e-05	26.0	1.0
0.00030745102229438046	6.14902044588761e-05	25.0	1.0
4.9192163567100876e-05	2.4596081783550438e-05	4.0	2.0
0.00020906669516017874	5.070612158495444e-05	17.0	2.0
0.0002582588587272796	5.635670328622216e-05	21.0	2.0
0.0003197490631861557	6.270795048612386e-05	26.0	2.0
0.00045502751299568314	7.48060623325656e-05	37.0	2.0
0.0003320471040779309	6.390249497434303e-05	27.0	2.0
0.0002459608178355044	5.499851084816305e-05	20.0	2.0
0.00029515298140260526	6.0247850041462974e-05	24.0	2.0
0.00040583534942858227	7.064686633248915e-05	33.0	2.0
0.00041813339032035747	7.170928484078171e-05	34.0	2.0
0.00029515298140260526	6.0247850041462974e-05	24.0	2.0
6.14902044588761e-05	2.7499255424081526e-05	5.0	4.0
0.00013527844980952742	4.078798729446612e-05	11.0	4.0
0.00030745102229438046	6.14902044588761e-05	25.0	4.0
0.0003812392676450318	6.847259380985241e-05	31.0	4.0
0.0005165177174545592	7.970041411801176e-05	42.0	4.0
0.0004919216356710088	7.777963995179598e-05	40.0	4.0
0.0003320471040779309	6.390249497434303e-05	27.0	4.0
0.0003320471040779309	6.390249497434303e-05	27.0	4.0
0.00034434514496970613	6.507511562588048e-05	28.0	4.0
0.00023366277694372917	5.360591745077901e-05	19.0	4.0
0.00017217257248485307	4.601505554555874e-05	14.0	4.0
