phi	phi_sigma	hist	WindEnergyIn1e51erg
6.14902044588761e-05	2.7499255424081526e-05	5.0	0.9
0.00015987453159307786	4.434121702304844e-05	13.0	0.9
0.0005411137992381097	8.157597458893224e-05	44.0	0.9
0.0006886902899394123	9.203011109111748e-05	56.0	0.9
0.0008854589442078158	0.00010435233731860456	72.0	0.9
0.0008116706988571645	9.990975650656537e-05	66.0	0.9
0.0005411137992381097	8.157597458893224e-05	44.0	0.9
0.0005903059628052105	8.520332663245737e-05	48.0	0.9
0.0005903059628052105	8.520332663245737e-05	48.0	0.9
0.0007009883308311875	9.284817261109235e-05	57.0	0.9
0.0007993726579653892	9.914997546860716e-05	65.0	0.9
9.838432713420175e-05	3.478411243953486e-05	8.0	1.8
0.00020906669516017874	5.070612158495444e-05	17.0	1.8
0.0003320471040779309	6.390249497434303e-05	27.0	1.8
0.00029515298140260526	6.0247850041462974e-05	24.0	1.8
0.0003566431858614814	6.622697700708895e-05	29.0	1.8
0.00027055689961905484	5.7682924813735474e-05	22.0	1.8
0.0003812392676450318	6.847259380985241e-05	31.0	1.8
0.00034434514496970613	6.507511562588048e-05	28.0	1.8
0.0002459608178355044	5.499851084816305e-05	20.0	1.8
0.00028285494051083005	5.897933218376446e-05	23.0	1.8
0.0001967686542684035	4.9192163567100876e-05	16.0	1.8
3.689412267532566e-05	2.1300831658114343e-05	3.0	3.6
0.00020906669516017874	5.070612158495444e-05	17.0	3.6
0.00015987453159307786	4.434121702304844e-05	13.0	3.6
0.00046732555388745835	7.581021548234424e-05	38.0	3.6
0.0004919216356710088	7.777963995179598e-05	40.0	3.6
0.00023366277694372917	5.360591745077901e-05	19.0	3.6
0.00040583534942858227	7.064686633248915e-05	33.0	3.6
0.00034434514496970613	6.507511562588048e-05	28.0	3.6
0.0003197490631861557	6.270795048612386e-05	26.0	3.6
0.0003197490631861557	6.270795048612386e-05	26.0	3.6
0.00030745102229438046	6.14902044588761e-05	25.0	3.6
3.689412267532566e-05	2.1300831658114343e-05	3.0	7.2
0.00013527844980952742	4.078798729446612e-05	11.0	7.2
0.00022136473605195394	5.217616865930228e-05	18.0	7.2
0.00034434514496970613	6.507511562588048e-05	28.0	7.2
0.00047962359477923355	7.68012407533579e-05	39.0	7.2
0.0003197490631861557	6.270795048612386e-05	26.0	7.2
0.00028285494051083005	5.897933218376446e-05	23.0	7.2
0.000504219676562784	7.874588370706619e-05	41.0	7.2
0.0003566431858614814	6.622697700708895e-05	29.0	7.2
0.0003689412267532566	6.735914409546237e-05	30.0	7.2
0.0002582588587272796	5.635670328622216e-05	21.0	7.2
1.2298040891775219e-05	1.2298040891775219e-05	1.0	14.4
4.9192163567100876e-05	2.4596081783550438e-05	4.0	14.4
0.0002459608178355044	5.499851084816305e-05	20.0	14.4
0.0003566431858614814	6.622697700708895e-05	29.0	14.4
0.00028285494051083005	5.897933218376446e-05	23.0	14.4
0.000504219676562784	7.874588370706619e-05	41.0	14.4
0.0004304314312121327	7.275619109156375e-05	35.0	14.4
0.0003689412267532566	6.735914409546237e-05	30.0	14.4
0.00040583534942858227	7.064686633248915e-05	33.0	14.4
0.000504219676562784	7.874588370706619e-05	41.0	14.4
0.0003197490631861557	6.270795048612386e-05	26.0	14.4
