phi	phi_sigma	hist	AGN1
0.00020881613819232386	5.0645352594148554e-05	17.0	0.25
0.00033164916065839674	6.382591072754627e-05	27.0	0.25
0.0003684990673982186	6.727841721120696e-05	30.0	0.25
0.00041763227638464773	7.16233445098123e-05	34.0	0.25
0.0005036153921108988	7.865151033096447e-05	41.0	0.25
0.00033164916065839674	6.382591072754627e-05	27.0	0.25
0.000343932462905004	6.499712604632773e-05	28.0	0.25
0.0002702326494253603	5.761379444016136e-05	22.0	0.25
0.0002702326494253603	5.761379444016136e-05	22.0	0.25
0.000171966231452502	4.59599085849951e-05	14.0	0.25
0.00029479925391857485	6.0175645721140226e-05	24.0	0.25
0.000171966231452502	4.59599085849951e-05	14.0	0.5
0.000257949347178753	5.628916232909902e-05	21.0	0.5
0.00041763227638464773	7.16233445098123e-05	34.0	0.5
0.000687864925810008	9.19198171699902e-05	56.0	0.5
0.0006018818100837571	8.5983115726251e-05	49.0	0.5
0.0003562157651516113	6.614760697382575e-05	29.0	0.5
0.000343932462905004	6.499712604632773e-05	28.0	0.5
0.000515898694357506	7.960489678043255e-05	42.0	0.5
0.00029479925391857485	6.0175645721140226e-05	24.0	0.5
0.00033164916065839674	6.382591072754627e-05	27.0	0.5
0.0002825159516719676	5.8908648124657166e-05	23.0	0.5
8.5983115726251e-05	3.2498563023163864e-05	7.0	1.0
0.00023338274268553844	5.354167318592729e-05	19.0	1.0
0.000343932462905004	6.499712604632773e-05	28.0	1.0
0.00047904878761768416	7.670919794378505e-05	39.0	1.0
0.00040534897413804045	7.056219926199687e-05	33.0	1.0
0.00047904878761768416	7.670919794378505e-05	39.0	1.0
0.0003070825561651822	6.141651123303644e-05	25.0	1.0
0.00023338274268553844	5.354167318592729e-05	19.0	1.0
0.00029479925391857485	6.0175645721140226e-05	24.0	1.0
0.00020881613819232386	5.0645352594148554e-05	17.0	1.0
0.00020881613819232386	5.0645352594148554e-05	17.0	1.0
9.82664179728583e-05	3.474242525575987e-05	8.0	2.0
0.0001965328359457166	4.913320898642915e-05	16.0	2.0
0.0003807823696448259	6.839053250652999e-05	31.0	2.0
0.0004544821831244696	7.471641065399075e-05	37.0	2.0
0.0006141651123303644	8.685606313939967e-05	50.0	2.0
0.000515898694357506	7.960489678043255e-05	42.0	2.0
0.0003684990673982186	6.727841721120696e-05	30.0	2.0
0.000343932462905004	6.499712604632773e-05	28.0	2.0
0.0003562157651516113	6.614760697382575e-05	29.0	2.0
0.00031936585841178946	6.263279784680865e-05	26.0	2.0
0.0003070825561651822	6.141651123303644e-05	25.0	2.0
0.0001965328359457166	4.913320898642915e-05	16.0	4.0
0.00022109944043893117	5.211363788363979e-05	18.0	4.0
0.00024566604493214575	5.493259762317956e-05	20.0	4.0
0.0003562157651516113	6.614760697382575e-05	29.0	4.0
0.000343932462905004	6.499712604632773e-05	28.0	4.0
0.0004667654853710769	7.571936037168624e-05	38.0	4.0
0.00041763227638464773	7.16233445098123e-05	34.0	4.0
0.00042991557863125506	7.266899609085546e-05	35.0	4.0
0.0003070825561651822	6.141651123303644e-05	25.0	4.0
0.00029479925391857485	6.0175645721140226e-05	24.0	4.0
0.0002702326494253603	5.761379444016136e-05	22.0	4.0
