phi	phi_sigma	hist	OmegaM
1.2283302246607287e-05	1.2283302246607287e-05	1.0	0.1
6.141651123303644e-05	2.746629881158978e-05	5.0	0.1
7.369981347964371e-05	3.0087822860570113e-05	6.0	0.1
0.00012283302246607287	3.884321228754229e-05	10.0	0.1
8.5983115726251e-05	3.2498563023163864e-05	7.0	0.1
0.00014739962695928743	4.255060715169751e-05	12.0	0.1
0.00013511632471268015	4.07391047385259e-05	11.0	0.1
0.00011054972021946558	3.684990673982186e-05	9.0	0.1
7.369981347964371e-05	3.0087822860570113e-05	6.0	0.1
7.369981347964371e-05	3.0087822860570113e-05	6.0	0.1
0.00011054972021946558	3.684990673982186e-05	9.0	0.1
0.00013511632471268015	4.07391047385259e-05	11.0	0.2
0.00023338274268553844	5.354167318592729e-05	19.0	0.2
0.0002702326494253603	5.761379444016136e-05	22.0	0.2
0.00031936585841178946	6.263279784680865e-05	26.0	0.2
0.0002702326494253603	5.761379444016136e-05	22.0	0.2
0.0003930656718914332	6.948485051151973e-05	32.0	0.2
0.00029479925391857485	6.0175645721140226e-05	24.0	0.2
0.00020881613819232386	5.0645352594148554e-05	17.0	0.2
0.000257949347178753	5.628916232909902e-05	21.0	0.2
0.0001842495336991093	4.757302503754217e-05	15.0	0.2
0.0001842495336991093	4.757302503754217e-05	15.0	0.2
8.5983115726251e-05	3.2498563023163864e-05	7.0	0.3
0.00023338274268553844	5.354167318592729e-05	19.0	0.3
0.000343932462905004	6.499712604632773e-05	28.0	0.3
0.00047904878761768416	7.670919794378505e-05	39.0	0.3
0.00040534897413804045	7.056219926199687e-05	33.0	0.3
0.00047904878761768416	7.670919794378505e-05	39.0	0.3
0.0003070825561651822	6.141651123303644e-05	25.0	0.3
0.00023338274268553844	5.354167318592729e-05	19.0	0.3
0.00029479925391857485	6.0175645721140226e-05	24.0	0.3
0.00020881613819232386	5.0645352594148554e-05	17.0	0.3
0.00020881613819232386	5.0645352594148554e-05	17.0	0.3
9.82664179728583e-05	3.474242525575987e-05	8.0	0.4
0.00020881613819232386	5.0645352594148554e-05	17.0	0.4
0.0004913320898642915	7.768642457508458e-05	40.0	0.4
0.0006755816235634008	9.109540753782771e-05	55.0	0.4
0.0008475478550159027	0.00010203277155710328	69.0	0.4
0.0006632983213167935	9.026346858171035e-05	54.0	0.4
0.00040534897413804045	7.056219926199687e-05	33.0	0.4
0.00041763227638464773	7.16233445098123e-05	34.0	0.4
0.0004667654853710769	7.571936037168624e-05	38.0	0.4
0.0003562157651516113	6.614760697382575e-05	29.0	0.4
0.0003930656718914332	6.948485051151973e-05	32.0	0.4
0.00011054972021946558	3.684990673982186e-05	9.0	0.5
0.00022109944043893117	5.211363788363979e-05	18.0	0.5
0.0005895985078371497	8.510121430339501e-05	48.0	0.5
0.000687864925810008	9.19198171699902e-05	56.0	0.5
0.000515898694357506	7.960489678043255e-05	42.0	0.5
0.0006264484145769716	8.772032386030554e-05	51.0	0.5
0.0002702326494253603	5.761379444016136e-05	22.0	0.5
0.0004667654853710769	7.571936037168624e-05	38.0	0.5
0.0003070825561651822	6.141651123303644e-05	25.0	0.5
0.0003562157651516113	6.614760697382575e-05	29.0	0.5
0.0003807823696448259	6.839053250652999e-05	31.0	0.5
