phi	phi_sigma	hist	SN1
2.4566604493214573e-05	1.7371212627879933e-05	2.0	0.9
0.00013511632471268015	4.07391047385259e-05	11.0	0.9
0.0003070825561651822	6.141651123303644e-05	25.0	0.9
0.000257949347178753	5.628916232909902e-05	21.0	0.9
0.0006264484145769716	8.772032386030554e-05	51.0	0.9
0.0006510150190701862	8.942379015854732e-05	53.0	0.9
0.00041763227638464773	7.16233445098123e-05	34.0	0.9
0.0003807823696448259	6.839053250652999e-05	31.0	0.9
0.0004544821831244696	7.471641065399075e-05	37.0	0.9
0.0006018818100837571	8.5983115726251e-05	49.0	0.9
0.0004667654853710769	7.571936037168624e-05	38.0	0.9
6.141651123303644e-05	2.746629881158978e-05	5.0	1.8
0.00013511632471268015	4.07391047385259e-05	11.0	1.8
0.0003807823696448259	6.839053250652999e-05	31.0	1.8
0.0005281819966041133	8.054699935754793e-05	43.0	1.8
0.0007124315303032226	9.35468429009095e-05	58.0	1.8
0.00047904878761768416	7.670919794378505e-05	39.0	1.8
0.00041763227638464773	7.16233445098123e-05	34.0	1.8
0.00041763227638464773	7.16233445098123e-05	34.0	1.8
0.000515898694357506	7.960489678043255e-05	42.0	1.8
0.00041763227638464773	7.16233445098123e-05	34.0	1.8
0.0006141651123303644	8.685606313939967e-05	50.0	1.8
8.5983115726251e-05	3.2498563023163864e-05	7.0	3.6
0.00023338274268553844	5.354167318592729e-05	19.0	3.6
0.000343932462905004	6.499712604632773e-05	28.0	3.6
0.00047904878761768416	7.670919794378505e-05	39.0	3.6
0.00040534897413804045	7.056219926199687e-05	33.0	3.6
0.00047904878761768416	7.670919794378505e-05	39.0	3.6
0.0003070825561651822	6.141651123303644e-05	25.0	3.6
0.00023338274268553844	5.354167318592729e-05	19.0	3.6
0.00029479925391857485	6.0175645721140226e-05	24.0	3.6
0.00020881613819232386	5.0645352594148554e-05	17.0	3.6
0.00020881613819232386	5.0645352594148554e-05	17.0	3.6
0.0001842495336991093	4.757302503754217e-05	15.0	7.2
0.00040534897413804045	7.056219926199687e-05	33.0	7.2
0.00029479925391857485	6.0175645721140226e-05	24.0	7.2
0.0004913320898642915	7.768642457508458e-05	40.0	7.2
0.00040534897413804045	7.056219926199687e-05	33.0	7.2
0.0003684990673982186	6.727841721120696e-05	30.0	7.2
0.0003684990673982186	6.727841721120696e-05	30.0	7.2
0.00020881613819232386	5.0645352594148554e-05	17.0	7.2
0.00014739962695928743	4.255060715169751e-05	12.0	7.2
0.00024566604493214575	5.493259762317956e-05	20.0	7.2
0.00014739962695928743	4.255060715169751e-05	12.0	7.2
0.000171966231452502	4.59599085849951e-05	14.0	14.4
0.000171966231452502	4.59599085849951e-05	14.0	14.4
0.00024566604493214575	5.493259762317956e-05	20.0	14.4
0.0002825159516719676	5.8908648124657166e-05	23.0	14.4
0.00022109944043893117	5.211363788363979e-05	18.0	14.4
0.00023338274268553844	5.354167318592729e-05	19.0	14.4
0.00013511632471268015	4.07391047385259e-05	11.0	14.4
0.00011054972021946558	3.684990673982186e-05	9.0	14.4
0.00014739962695928743	4.255060715169751e-05	12.0	14.4
0.00012283302246607287	3.884321228754229e-05	10.0	14.4
9.82664179728583e-05	3.474242525575987e-05	8.0	14.4
