phi	phi_sigma	hist	AGN2
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
0.0	0.0	0.0	10.0
1.2298040891775219e-05	1.2298040891775219e-05	1.0	10.0
0.00011068236802597697	3.689412267532566e-05	9.0	10.0
0.00013527844980952742	4.078798729446612e-05	11.0	10.0
0.00023366277694372917	5.360591745077901e-05	19.0	10.0
0.000393537308536807	6.956822487906972e-05	32.0	10.0
0.0005411137992381097	8.157597458893224e-05	44.0	10.0
0.0005288157583463345	8.064364711716815e-05	43.0	10.0
0.0002582588587272796	5.635670328622216e-05	21.0	10.0
0.0003566431858614814	6.622697700708895e-05	29.0	10.0
0.0004919216356710088	7.777963995179598e-05	40.0	10.0
0.0003197490631861557	6.270795048612386e-05	26.0	10.0
0.00029515298140260526	6.0247850041462974e-05	24.0	10.0
0.0	0.0	0.0	14.14
0.0	0.0	0.0	14.14
0.0	0.0	0.0	14.14
0.0	0.0	0.0	14.14
2.4596081783550438e-05	1.739205621976743e-05	2.0	14.14
1.2298040891775219e-05	1.2298040891775219e-05	1.0	14.14
7.378824535065131e-05	3.0123925020731487e-05	6.0	14.14
0.0001967686542684035	4.9192163567100876e-05	16.0	14.14
0.0002582588587272796	5.635670328622216e-05	21.0	14.14
0.00040583534942858227	7.064686633248915e-05	33.0	14.14
0.0003812392676450318	6.847259380985241e-05	31.0	14.14
0.00040583534942858227	7.064686633248915e-05	33.0	14.14
0.00028285494051083005	5.897933218376446e-05	23.0	14.14
0.00034434514496970613	6.507511562588048e-05	28.0	14.14
0.0003566431858614814	6.622697700708895e-05	29.0	14.14
0.00028285494051083005	5.897933218376446e-05	23.0	14.14
0.0001844706133766283	4.7630107564823235e-05	15.0	14.14
0.0	0.0	0.0	20.0
0.0	0.0	0.0	20.0
0.0	0.0	0.0	20.0
0.0	0.0	0.0	20.0
0.0	0.0	0.0	20.0
2.4596081783550438e-05	1.739205621976743e-05	2.0	20.0
3.689412267532566e-05	2.1300831658114343e-05	3.0	20.0
0.00020906669516017874	5.070612158495444e-05	17.0	20.0
0.00015987453159307786	4.434121702304844e-05	13.0	20.0
0.00046732555388745835	7.581021548234424e-05	38.0	20.0
0.0004919216356710088	7.777963995179598e-05	40.0	20.0
0.00023366277694372917	5.360591745077901e-05	19.0	20.0
0.00040583534942858227	7.064686633248915e-05	33.0	20.0
0.00034434514496970613	6.507511562588048e-05	28.0	20.0
0.0003197490631861557	6.270795048612386e-05	26.0	20.0
0.0003197490631861557	6.270795048612386e-05	26.0	20.0
0.00030745102229438046	6.14902044588761e-05	25.0	20.0
0.0	0.0	0.0	28.8
0.0	0.0	0.0	28.8
0.0	0.0	0.0	28.8
0.0	0.0	0.0	28.8
0.0	0.0	0.0	28.8
1.2298040891775219e-05	1.2298040891775219e-05	1.0	28.8
8.608628624242653e-05	3.253755781294024e-05	7.0	28.8
0.00014757649070130263	4.2601663316228686e-05	12.0	28.8
0.00017217257248485307	4.601505554555874e-05	14.0	28.8
0.00041813339032035747	7.170928484078171e-05	34.0	28.8
0.00040583534942858227	7.064686633248915e-05	33.0	28.8
0.00047962359477923355	7.68012407533579e-05	39.0	28.8
0.00028285494051083005	5.897933218376446e-05	23.0	28.8
0.0003812392676450318	6.847259380985241e-05	31.0	28.8
0.0003566431858614814	6.622697700708895e-05	29.0	28.8
0.00028285494051083005	5.897933218376446e-05	23.0	28.8
0.0001844706133766283	4.7630107564823235e-05	15.0	28.8
0.0	0.0	0.0	40.0
0.0	0.0	0.0	40.0
0.0	0.0	0.0	40.0
0.0	0.0	0.0	40.0
1.2298040891775219e-05	1.2298040891775219e-05	1.0	40.0
0.0	0.0	0.0	40.0
0.00011068236802597697	3.689412267532566e-05	9.0	40.0
0.00020906669516017874	5.070612158495444e-05	17.0	40.0
0.0002459608178355044	5.499851084816305e-05	20.0	40.0
0.00034434514496970613	6.507511562588048e-05	28.0	40.0
0.000504219676562784	7.874588370706619e-05	41.0	40.0
0.00029515298140260526	6.0247850041462974e-05	24.0	40.0
0.0003197490631861557	6.270795048612386e-05	26.0	40.0
0.0003320471040779309	6.390249497434303e-05	27.0	40.0
0.0003320471040779309	6.390249497434303e-05	27.0	40.0
0.0003320471040779309	6.390249497434303e-05	27.0	40.0
0.00028285494051083005	5.897933218376446e-05	23.0	40.0
