phi	phi_sigma	hist	AGN1
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.25
1.2232659162678205e-05	1.2232659162678205e-05	1.0	0.25
2.446531832535641e-05	1.729959249174703e-05	2.0	0.25
8.562861413874744e-05	3.236457401746214e-05	7.0	0.25
0.00018348988744017308	4.737688521688426e-05	15.0	0.25
0.0002324205240908859	5.332092510089117e-05	19.0	0.25
0.0004403757298564154	7.339595497606924e-05	36.0	0.25
0.0006727962539473014	9.071982837541101e-05	55.0	0.25
0.0005260043439951628	8.021491044800192e-05	43.0	0.25
0.0006605635947846231	8.989131943782878e-05	54.0	0.25
0.0008073555047367616	9.937859282841972e-05	66.0	0.25
2.446531832535641e-05	1.729959249174703e-05	2.0	0.5
0.0	0.0	0.0	0.5
4.893063665071282e-05	2.446531832535641e-05	4.0	0.5
9.786127330142564e-05	3.459918498349406e-05	8.0	0.5
0.00015902456911481668	4.410547984631066e-05	13.0	0.5
0.00019572254660285129	4.893063665071282e-05	16.0	0.5
0.0004403757298564154	7.339595497606924e-05	36.0	0.5
0.0005871676398085539	8.475034872572645e-05	48.0	0.5
0.0006116329581339103	8.649796245873514e-05	50.0	0.5
0.000770657527248727	9.709372205238643e-05	63.0	0.5
0.0009663800738515783	0.00010872625287864081	79.0	0.5
0.0	0.0	0.0	1.0
1.2232659162678205e-05	1.2232659162678205e-05	1.0	1.0
6.116329581339103e-05	2.7353057433334127e-05	5.0	1.0
8.562861413874744e-05	3.236457401746214e-05	7.0	1.0
9.786127330142564e-05	3.459918498349406e-05	8.0	1.0
0.00033028179739231155	6.356276154429484e-05	27.0	1.0
0.0004526083890190936	7.440836080064818e-05	37.0	1.0
0.0005749349806458756	8.386288606375282e-05	47.0	1.0
0.0007094942314353359	9.31611566643244e-05	58.0	1.0
0.0008195881638994398	0.00010012863058459898	67.0	1.0
0.0007094942314353359	9.31611566643244e-05	58.0	1.0
0.0	0.0	0.0	2.0
3.669797748803462e-05	2.1187587181431613e-05	3.0	2.0
3.669797748803462e-05	2.1187587181431613e-05	3.0	2.0
4.893063665071282e-05	2.446531832535641e-05	4.0	2.0
0.00017125722827749488	4.5770419515922845e-05	14.0	2.0
0.00017125722827749488	4.5770419515922845e-05	14.0	2.0
0.00034251445655498976	6.472914803492428e-05	28.0	2.0
0.0005382370031578411	8.114228126181332e-05	44.0	2.0
0.0007217268905980142	9.396083791253167e-05	59.0	2.0
0.0008562861413874744	0.0001023457693962865	70.0	2.0
0.0006360982764592667	8.821095969262132e-05	52.0	2.0
0.0	0.0	0.0	4.0
4.893063665071282e-05	2.446531832535641e-05	4.0	4.0
2.446531832535641e-05	1.729959249174703e-05	2.0	4.0
6.116329581339103e-05	2.7353057433334127e-05	5.0	4.0
0.00012232659162678206	3.8683064794591325e-05	10.0	4.0
0.00025688584241624233	5.6057086563568e-05	21.0	4.0
0.00037921243404302437	6.810856374860584e-05	31.0	4.0
0.0005504696623205192	8.205917230000239e-05	45.0	4.0
0.0006238656172965884	8.735865990102532e-05	51.0	4.0
0.000831820823062118	0.00010087309161980386	68.0	4.0
0.000770657527248727	9.709372205238643e-05	63.0	4.0
