phi	phi_sigma	hist	OmegaM
0.0	0.0	0.0	0.1
0.0	0.0	0.0	0.1
1.2319912294815403e-05	1.2319912294815403e-05	1.0	0.1
0.0	0.0	0.0	0.1
0.0	0.0	0.0	0.1
2.4639824589630805e-05	1.7422987054574983e-05	2.0	0.1
2.4639824589630805e-05	1.7422987054574983e-05	2.0	0.1
2.4639824589630805e-05	1.7422987054574983e-05	2.0	0.1
6.159956147407702e-05	2.754816136804267e-05	5.0	0.1
0.00014783894753778482	4.267742807882552e-05	12.0	0.1
6.159956147407702e-05	2.754816136804267e-05	5.0	0.1
9.855929835852322e-05	3.484597410914997e-05	8.0	0.1
0.00012319912294815404	3.8958983425128504e-05	10.0	0.1
0.00013551903524296942	4.086052653198905e-05	11.0	0.1
7.391947376889241e-05	3.0177498798138694e-05	6.0	0.1
4.927964917926161e-05	2.4639824589630805e-05	4.0	0.1
8.623938606370782e-05	3.259542410620862e-05	7.0	0.1
0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.2
1.2298040891775219e-05	1.2298040891775219e-05	1.0	0.2
1.2298040891775219e-05	1.2298040891775219e-05	1.0	0.2
9.838432713420175e-05	3.478411243953486e-05	8.0	0.2
0.00015987453159307786	4.434121702304844e-05	13.0	0.2
0.0002459608178355044	5.499851084816305e-05	20.0	0.2
0.00029515298140260526	6.0247850041462974e-05	24.0	0.2
0.00030745102229438046	6.14902044588761e-05	25.0	0.2
0.00030745102229438046	6.14902044588761e-05	25.0	0.2
0.00013527844980952742	4.078798729446612e-05	11.0	0.2
0.00020906669516017874	5.070612158495444e-05	17.0	0.2
0.00020906669516017874	5.070612158495444e-05	17.0	0.2
0.0002582588587272796	5.635670328622216e-05	21.0	0.2
0.00014757649070130263	4.2601663316228686e-05	12.0	0.2
0.0	0.0	0.0	0.3
0.0	0.0	0.0	0.3
0.0	0.0	0.0	0.3
0.0	0.0	0.0	0.3
0.0	0.0	0.0	0.3
2.4596081783550438e-05	1.739205621976743e-05	2.0	0.3
3.689412267532566e-05	2.1300831658114343e-05	3.0	0.3
0.00020906669516017874	5.070612158495444e-05	17.0	0.3
0.00015987453159307786	4.434121702304844e-05	13.0	0.3
0.00046732555388745835	7.581021548234424e-05	38.0	0.3
0.0004919216356710088	7.777963995179598e-05	40.0	0.3
0.00023366277694372917	5.360591745077901e-05	19.0	0.3
0.00040583534942858227	7.064686633248915e-05	33.0	0.3
0.00034434514496970613	6.507511562588048e-05	28.0	0.3
0.0003197490631861557	6.270795048612386e-05	26.0	0.3
0.0003197490631861557	6.270795048612386e-05	26.0	0.3
0.00030745102229438046	6.14902044588761e-05	25.0	0.3
0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.4
1.2298040891775219e-05	1.2298040891775219e-05	1.0	0.4
3.689412267532566e-05	2.1300831658114343e-05	3.0	0.4
0.00011068236802597697	3.689412267532566e-05	9.0	0.4
0.00028285494051083005	5.897933218376446e-05	23.0	0.4
0.0005165177174545592	7.970041411801176e-05	42.0	0.4
0.0005165177174545592	7.970041411801176e-05	42.0	0.4
0.00040583534942858227	7.064686633248915e-05	33.0	0.4
0.000393537308536807	6.956822487906972e-05	32.0	0.4
0.0003320471040779309	6.390249497434303e-05	27.0	0.4
0.00041813339032035747	7.170928484078171e-05	34.0	0.4
0.0003320471040779309	6.390249497434303e-05	27.0	0.4
0.0004427294721039079	7.378824535065131e-05	36.0	0.4
0.0	0.0	0.0	0.5
0.0	0.0	0.0	0.5
0.0	0.0	0.0	0.5
0.0	0.0	0.0	0.5
1.2298040891775219e-05	1.2298040891775219e-05	1.0	0.5
2.4596081783550438e-05	1.739205621976743e-05	2.0	0.5
4.9192163567100876e-05	2.4596081783550438e-05	4.0	0.5
0.00011068236802597697	3.689412267532566e-05	9.0	0.5
0.00029515298140260526	6.0247850041462974e-05	24.0	0.5
0.0005657098810216601	8.340937147398768e-05	46.0	0.5
0.0004919216356710088	7.777963995179598e-05	40.0	0.5
0.00045502751299568314	7.48060623325656e-05	37.0	0.5
0.0003689412267532566	6.735914409546237e-05	30.0	0.5
0.0005780079219134353	8.431112061561895e-05	47.0	0.5
0.0006886902899394123	9.203011109111748e-05	56.0	0.5
0.0005288157583463345	8.064364711716815e-05	43.0	0.5
0.000393537308536807	6.956822487906972e-05	32.0	0.5
