magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.994998347321149	0.0	0.0
-25.375	-5.994998347321149	0.0	0.0
-24.291666666666664	-5.994998347321149	0.0	0.0
-23.208333333333336	-5.994998347321149	0.0	0.0
-22.125	-5.994998347321149	0.0	0.0
-21.041666666666668	-5.994998347321149	0.0	0.0
-19.958333333333336	-5.994998347321149	0.0	0.0
-18.875	-4.447190420162467	2.5251930304750423e-05	2.0
-17.791666666666668	-3.748220415826448	5.646503272450892e-05	10.0
-16.708333333333336	-3.0406502397285116	0.00012751599740800095	51.0
-15.625	-2.839735396947798	0.00016070230040885194	81.0
-14.541666666666668	-2.611499848670041	0.00020899691124976974	137.0
