magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.968493874362679	0.0	0.0
-23.625	-5.968493874362679	0.0	0.0
-22.708333333333336	-5.968493874362679	0.0	0.0
-21.791666666666664	-5.968493874362679	0.0	0.0
-20.875	-5.968493874362679	0.0	0.0
-19.958333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-19.041666666666668	-3.7725797616858934	5.968638072031904e-05	8.0
-18.125	-3.1985484939581745	0.00011558217926259552	30.0
-17.208333333333336	-2.904817737035693	0.00016209001301975757	59.0
-16.291666666666668	-2.7948561563970458	0.0001839657805494361	76.0
-15.375	-2.6933985156382687	0.0002067596878549841	96.0
-14.458333333333334	-2.529541712999599	0.00024968604438592527	140.0
