magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.972436641368412	0.0	0.0
-25.375	-5.972436641368412	0.0	0.0
-24.291666666666664	-5.972436641368412	0.0	0.0
-23.208333333333336	-5.972436641368412	0.0	0.0
-22.125	-5.972436641368412	0.0	0.0
-21.041666666666668	-4.748220415826448	1.78558111565391e-05	1.0
-19.958333333333336	-4.049250411490429	3.992680753942058e-05	5.0
-18.875	-3.3332470678556296	9.104712951822064e-05	26.0
-17.791666666666668	-2.7353831911212754	0.00018121669123447924	103.0
-16.708333333333336	-2.417806642477257	0.0002612079981555103	214.0
-15.625	-2.288827928067217	0.000303023163657005	288.0
-14.541666666666668	-2.138626006601228	0.0003602274375552207	407.0
