magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.980016080380372	0.0	0.0
-25.375	-5.980016080380372	0.0	0.0
-24.291666666666664	-5.980016080380372	0.0	0.0
-23.208333333333336	-5.980016080380372	0.0	0.0
-22.125	-5.980016080380372	0.0	0.0
-21.041666666666668	-4.447190420162467	2.5251930304750423e-05	2.0
-19.958333333333336	-3.544100433170523	7.14232446261564e-05	16.0
-18.875	-2.839735396947798	0.00016070230040885194	81.0
-17.791666666666668	-2.569243468533278	0.00021941588092195136	151.0
-16.708333333333336	-2.320085621797659	0.00029231222668841677	268.0
-15.625	-2.189511845293282	0.0003397299767830196	362.0
-14.541666666666668	-2.102798146477356	0.0003753969319129153	442.0
