magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.98084807166534	0.0	0.0
-23.625	-5.98084807166534	0.0	0.0
-22.708333333333336	-5.98084807166534	0.0	0.0
-21.791666666666664	-5.98084807166534	0.0	0.0
-20.875	-4.675669748677837	2.1102322275909798e-05	1.0
-19.958333333333336	-4.1985484939581745	3.6550294339568277e-05	3.0
-19.041666666666668	-3.83057170866358	5.583149682799587e-05	7.0
-18.125	-3.313941912660244	0.00010120318238591243	23.0
-17.208333333333336	-3.022457234902493	0.00014155868127612716	45.0
-16.291666666666668	-2.6037877413717117	0.00022922989473777268	118.0
-15.375	-2.3856351373153193	0.00029467789374177695	195.0
-14.458333333333334	-2.435120500395237	0.00027835874864269393	174.0
