magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.987635448144176	0.0	0.0
-25.375	-5.987635448144176	0.0	0.0
-24.291666666666664	-5.987635448144176	0.0	0.0
-23.208333333333336	-5.987635448144176	0.0	0.0
-22.125	-4.271099161106785	3.092717213348092e-05	3.0
-21.041666666666668	-3.706827730668223	5.922102593368211e-05	11.0
-19.958333333333336	-3.0322170721916484	0.0001287600853798074	52.0
-18.875	-2.637630705527199	0.00020280302999580712	129.0
-17.791666666666668	-2.4953673848465545	0.00023889447163628454	179.0
-16.708333333333336	-2.355523462566782	0.0002806261000661247	247.0
-15.625	-2.4515552255649165	0.0002512535341591861	198.0
-14.541666666666668	-2.373472069816344	0.00027488671870016336	237.0
