magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.999540103089431	0.0	0.0
-25.375	-5.999540103089431	0.0	0.0
-24.291666666666664	-5.999540103089431	0.0	0.0
-23.208333333333336	-5.999540103089431	0.0	0.0
-22.125	-4.447190420162467	2.5251930304750423e-05	2.0
-21.041666666666668	-3.469466814873619	7.783167638630009e-05	19.0
-19.958333333333336	-3.1047677393402604	0.00011844205186736422	44.0
-18.875	-2.6178866473314417	0.00020746577772690162	135.0
-17.791666666666668	-2.485769326096018	0.0002415489361322287	183.0
-16.708333333333336	-2.397972397492285	0.0002672413108428204	224.0
-15.625	-2.4450243584059588	0.0002531498141489645	201.0
-14.541666666666668	-2.417806642477257	0.0002612079981555103	214.0
