magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.959487435828472	0.0	0.0
-23.625	-5.959487435828472	0.0	0.0
-22.708333333333336	-4.374639753013856	2.984319036015952e-05	2.0
-21.791666666666664	-4.073609757349875	4.2204644551819596e-05	4.0
-20.875	-3.2443059845188498	0.00010965088301870484	27.0
-19.958333333333336	-2.8627563920349814	0.00017013236127604684	65.0
-19.041666666666668	-2.6264517260076556	0.0002233259873119835	112.0
-18.125	-2.4326316999915427	0.00027915748413997934	175.0
-17.208333333333336	-2.293652706102969	0.0003275961375080032	241.0
-16.291666666666668	-2.4326316999915427	0.00027915748413997934	175.0
-15.375	-2.3946363814301095	0.0002916398961705078	191.0
-14.458333333333334	-2.4179911738086526	0.0002839027104202793	181.0
