magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.995481554676471	0.0	0.0
-25.375	-5.995481554676471	0.0	0.0
-24.291666666666664	-5.995481554676471	0.0	0.0
-23.208333333333336	-5.995481554676471	0.0	0.0
-22.125	-3.845130428834504	5.0503860609500846e-05	8.0
-21.041666666666668	-2.9923455601539564	0.00013480841793933056	57.0
-19.958333333333336	-2.555095817471986	0.000223019009864733	156.0
-18.875	-2.2964339803021576	0.00030038123735082076	283.0
-17.791666666666668	-2.1157631236417234	0.00036983518841894445	429.0
-16.708333333333336	-2.0466524307705205	0.00040046408828403964	503.0
-15.625	-2.081702435271567	0.0003846259433721361	464.0
-14.541666666666668	-2.091164562969344	0.0003804586920998465	454.0
