magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.9604301073444415	0.0	0.0
-25.375	-5.9604301073444415	0.0	0.0
-24.291666666666664	-5.9604301073444415	0.0	0.0
-23.208333333333336	-5.9604301073444415	0.0	0.0
-22.125	-4.271099161106785	3.092717213348092e-05	3.0
-21.041666666666668	-3.4260011210925283	8.182560621967743e-05	21.0
-19.958333333333336	-3.204152371476172	0.00010563640339404556	35.0
-18.875	-2.6654350455099975	0.00019641392272193013	121.0
-17.791666666666668	-2.45818580446393	0.00024934283316611954	195.0
-16.708333333333336	-2.3921945586333253	0.0002690249211451662	227.0
-15.625	-2.474062566562768	0.00024482654779843917	188.0
-14.541666666666668	-2.485769326096018	0.0002415489361322287	183.0
