magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.975750633717398	0.0	0.0
-23.625	-5.975750633717398	0.0	0.0
-22.708333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-21.791666666666664	-3.83057170866358	5.583149682799587e-05	7.0
-20.875	-3.499578489622156	8.172894274090046e-05	15.0
-19.958333333333336	-3.1705197703579313	0.00011937276144063808	32.0
-19.041666666666668	-2.7361504960592185	0.00019682935876785056	87.0
-18.125	-2.654480449607899	0.0002162344574086602	105.0
-17.208333333333336	-2.479770096268603	0.0002644113402513371	157.0
-16.291666666666668	-2.634277063519612	0.00022132302319912287	110.0
-15.375	-2.600122787285306	0.00023019915865816432	119.0
-14.458333333333334	-2.582248063515602	0.0002349855158815294	124.0
