magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.995346815198909	0.0	0.0
-23.625	-5.995346815198909	0.0	0.0
-22.708333333333336	-5.995346815198909	0.0	0.0
-21.791666666666664	-5.995346815198909	0.0	0.0
-20.875	-5.995346815198909	0.0	0.0
-19.958333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-19.041666666666668	-3.561726396371	7.608550499715873e-05	13.0
-18.125	-2.8832780591795832	0.0001661598517604486	62.0
-17.208333333333336	-2.6933985156382687	0.0002067596878549841	96.0
-16.291666666666668	-2.582248063515602	0.0002349855158815294	124.0
-15.375	-2.578759735669781	0.00023593113546021194	125.0
-14.458333333333334	-2.6112117594509185	0.00022727896653807988	116.0
