magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.959320814317843	0.0	0.0
-23.625	-5.959320814317843	0.0	0.0
-22.708333333333336	-5.959320814317843	0.0	0.0
-21.791666666666664	-5.959320814317843	0.0	0.0
-20.875	-5.959320814317843	0.0	0.0
-19.958333333333336	-3.9766997443418184	4.718622709204239e-05	5.0
-19.041666666666668	-3.634277063519612	6.998848519435142e-05	11.0
-18.125	-2.904817737035693	0.00016209001301975757	59.0
-17.208333333333336	-2.7166283563567433	0.00020130332459924416	91.0
-16.291666666666668	-2.6422459931908873	0.00021930176603740967	108.0
-15.375	-2.6503638834130667	0.00021726170526867834	106.0
-14.458333333333334	-2.711881921332282	0.00020240636477182486	92.0
