magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.960073643103372	0.0	0.0
-23.625	-5.960073643103372	0.0	0.0
-22.708333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-21.791666666666664	-5.960073643103372	0.0	0.0
-20.875	-3.675669748677837	6.673140231078311e-05	10.0
-19.958333333333336	-3.022457234902493	0.00014155868127612716	45.0
-19.041666666666668	-3.0035718907421196	0.00014467023278998643	47.0
-18.125	-2.6586364093790564	0.00021520230613397554	104.0
-17.208333333333336	-2.575299203560274	0.0002368729800652266	126.0
-16.291666666666668	-2.5173072565825874	0.0002532278673109176	144.0
-15.375	-2.585764637238439	0.0002340360755709943	123.0
-14.458333333333334	-2.5421308403076197	0.0002460932521207049	136.0
