magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.990535967669295	0.0	0.0
-23.625	-5.990535967669295	0.0	0.0
-22.708333333333336	-5.990535967669295	0.0	0.0
-21.791666666666664	-5.990535967669295	0.0	0.0
-20.875	-3.675669748677837	6.673140231078311e-05	10.0
-19.958333333333336	-3.107468024610842	0.00012836041524218157	37.0
-19.041666666666668	-2.9596664050430377	0.00015217100999431746	52.0
-18.125	-2.83057170866358	0.00017655469515293306	70.0
-17.208333333333336	-2.545335980182831	0.00024518682822270135	135.0
-16.291666666666668	-2.442673638285683	0.0002759486708241542	171.0
-15.375	-2.471549766021912	0.00026692560924313245	160.0
-14.458333333333334	-2.5143017464428623	0.00025410560951752333	145.0
