magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.958839088423203	0.0	0.0
-23.82142857142857	-5.958839088423203	0.0	0.0
-23.035714285714285	-5.958839088423203	0.0	0.0
-22.25	-5.958839088423203	0.0	0.0
-21.464285714285715	-5.958839088423203	0.0	0.0
-20.67857142857143	-3.404602976391298	9.847750395424598e-05	16.0
-19.892857142857142	-3.1937496110764045	0.00012553467857815272	26.0
-19.107142857142858	-3.0066629677192602	0.00015570660539182765	40.0
-18.321428571428573	-2.8378709474050785	0.00018910501518971763	59.0
-17.535714285714285	-2.630999353758375	0.00023995999465803677	95.0
-16.75	-2.4414056242990467	0.00029849407043980834	147.0
-15.964285714285715	-2.415598360692761	0.00030749590754076825	156.0
-15.178571428571429	-2.533175997654692	0.0002685656851011924	119.0
-14.392857142857142	-2.571296461106599	0.0002570338313786947	109.0
