magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.982973884035925	0.0	0.0
-23.82142857142857	-5.982973884035925	0.0	0.0
-23.035714285714285	-5.982973884035925	0.0	0.0
-22.25	-5.982973884035925	0.0	0.0
-21.464285714285715	-4.006662967719261	4.923875197712299e-05	4.0
-20.67857142857143	-3.4326316999915414	9.535043319771744e-05	15.0
-19.892857142857142	-2.936625101111505	0.0001687819382549846	47.0
-19.107142857142858	-2.9011527829492865	0.00017581751157769832	51.0
-18.321428571428573	-2.9274817216716356	0.00017056804025131908	48.0
-17.535714285714285	-2.7698738683099675	0.0002045038960767372	69.0
-16.75	-2.7056329720552794	0.00022020239309619838	80.0
-15.964285714285715	-2.694909106663506	0.00022293793143703697	82.0
-15.178571428571429	-2.7166283563567424	0.0002174324414091889	78.0
-14.392857142857142	-2.809382409593641	0.00019541023889798606	63.0
