magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.999586912427781	0.0	0.0
-23.82142857142857	-5.999586912427781	0.0	0.0
-23.035714285714285	-5.999586912427781	0.0	0.0
-22.25	-4.608722959047223	2.4619375988561495e-05	1.0
-21.464285714285715	-5.999586912427781	0.0	0.0
-20.67857142857143	-3.654480449607898	7.38581279656845e-05	9.0
-19.892857142857142	-2.9854736686493224	0.00015955179193847575	42.0
-19.107142857142858	-3.0176583520207236	0.00015374795377038413	39.0
-18.321428571428573	-3.0066629677192602	0.00015570660539182765	40.0
-17.535714285714285	-2.809382409593641	0.00019541023889798606	63.0
-16.75	-2.745400098926767	0.0002103480406536499	73.0
-15.964285714285715	-2.795809602404367	0.00019848775482205516	65.0
-15.178571428571429	-2.751390462615954	0.00020890233252111715	72.0
-14.392857142857142	-2.763624919032966	0.00020598047767842243	70.0
