magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.962549080357762	0.0	0.0
-23.82142857142857	-5.962549080357762	0.0	0.0
-23.035714285714285	-4.307692963383242	3.48170554201862e-05	2.0
-22.25	-3.3076929633832415	0.00011010119654809919	20.0
-21.464285714285715	-3.103572980727317	0.0001392682216807448	32.0
-20.67857142857143	-2.945965127365649	0.00016697673193305493	46.0
-19.892857142857142	-2.6402400104932875	0.00023742066398726276	93.0
-19.107142857142858	-2.7279093667664314	0.0002146267439743427	76.0
-18.321428571428573	-2.669203706428604	0.00022963425189582626	87.0
-17.535714285714285	-2.6087229590472227	0.00024619375988561495	100.0
-16.75	-2.529541712999598	0.0002696917516127236	120.0
-15.964285714285715	-2.5556445155638032	0.000261707556576947	113.0
-15.178571428571429	-2.635595105447524	0.00023869370616381758	94.0
-14.392857142857142	-2.7056329720552794	0.00022020239309619838	80.0
