magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.969794092132706	0.0	0.0
-25.375	-5.969794092132706	0.0	0.0
-24.291666666666664	-5.969794092132706	0.0	0.0
-23.208333333333336	-5.969794092132706	0.0	0.0
-22.125	-5.969794092132706	0.0	0.0
-21.041666666666668	-4.271099161106785	3.092717213348092e-05	3.0
-19.958333333333336	-3.793977906387123	5.3567433469617314e-05	9.0
-18.875	-3.845130428834504	5.0503860609500846e-05	8.0
-17.791666666666668	-3.2167414987841925	0.00010411637589722156	34.0
-16.708333333333336	-2.928676480284579	0.00014506129558165094	66.0
-15.625	-2.7659491827868794	0.00017495050510806388	96.0
-14.541666666666668	-2.714796660339498	0.00018556303280088557	108.0
