magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.97558501702309	0.0	0.0
-23.625	-5.97558501702309	0.0	0.0
-22.708333333333336	-5.97558501702309	0.0	0.0
-21.791666666666664	-4.374639753013856	2.984319036015952e-05	2.0
-20.875	-4.374639753013856	2.984319036015952e-05	2.0
-19.958333333333336	-3.83057170866358	5.583149682799587e-05	7.0
-19.041666666666668	-3.313941912660244	0.00010120318238591243	23.0
-18.125	-2.8495949459770107	0.00017272995213406405	67.0
-17.208333333333336	-2.3923685199742875	0.0002924023547165462	192.0
-16.291666666666668	-2.2777297400057996	0.00033365701155391555	250.0
-15.375	-2.245917468675429	0.00034610381890753613	269.0
-14.458333333333334	-2.2088021283237276	0.0003612135733784837	293.0
