magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.986532000715331	0.0	0.0
-23.82142857142857	-5.986532000715331	0.0	0.0
-23.035714285714285	-4.608722959047223	2.4619375988561495e-05	1.0
-22.25	-4.006662967719261	4.923875197712299e-05	4.0
-21.464285714285715	-4.006662967719261	4.923875197712299e-05	4.0
-20.67857142857143	-3.529541712999598	8.528402012565954e-05	12.0
-19.892857142857142	-3.3534504539439167	0.00010445116626055858	18.0
-19.107142857142858	-2.9274817216716356	0.00017056804025131908	48.0
-18.321428571428573	-2.7166283563567424	0.0002174324414091889	78.0
-17.535714285714285	-2.42687937110245	0.00030352805217649334	152.0
-16.75	-2.1693902652169603	0.0004082661636337177	275.0
-15.964285714285715	-2.1538780990387125	0.00041562290253167617	285.0
-15.178571428571429	-2.1569365235229325	0.0004141620090746166	283.0
-14.392857142857142	-2.10629583906279	0.0004390263640751411	318.0
