magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.989655994484938	0.0	0.0
-25.375	-5.989655994484938	0.0	0.0
-24.291666666666664	-5.989655994484938	0.0	0.0
-23.208333333333336	-4.748220415826448	1.78558111565391e-05	1.0
-22.125	-3.903122375812191	4.724203577753508e-05	7.0
-21.041666666666668	-3.4471904201624666	7.985361507884115e-05	20.0
-19.958333333333336	-2.8239411297645662	0.00016365121243935485	84.0
-18.875	-2.8789886960954716	0.00015360149547543798	74.0
-17.791666666666668	-2.845130428834504	0.0001597072301576823	80.0
-16.708333333333336	-2.7229145505616774	0.00018383682753503596	106.0
-15.625	-2.748220415826448	0.00017855811156539103	100.0
-14.541666666666668	-2.803737743676279	0.00016750235610612406	88.0
