magnitude	phi	phi_sigma	hist
-24.541666666666664	-4.675669748677837	2.1102322275909798e-05	1.0
-23.625	-5.982651591493621	0.0	0.0
-22.708333333333336	-3.471549766021912	8.440928910363919e-05	16.0
-21.791666666666664	-3.213271750778881	0.00011363948326903994	29.0
-20.875	-2.7462508229635443	0.00019455379837487243	85.0
-19.958333333333336	-2.7166283563567433	0.00020130332459924416	91.0
-19.041666666666668	-2.6979461433889895	0.00020567999542117385	95.0
-18.125	-2.7262797420329243	0.0001990789101935108	89.0
-17.208333333333336	-2.5113168928934	0.00025498033020942694	146.0
-16.291666666666668	-2.4770126617234145	0.00026525207795405624	158.0
-15.375	-2.4276964823160303	0.0002807481379497209	177.0
-14.458333333333334	-2.3812035225162442	0.00029618520738038676	197.0
