magnitude	phi	phi_sigma	hist
-24.541666666666664	-4.374639753013856	2.984319036015952e-05	2.0
-23.625	-3.9766997443418184	4.718622709204239e-05	5.0
-22.708333333333336	-4.073609757349875	4.2204644551819596e-05	4.0
-21.791666666666664	-3.313941912660244	0.00010120318238591243	23.0
-20.875	-3.107468024610842	0.00012836041524218157	37.0
-19.958333333333336	-2.7361504960592185	0.00019682935876785056	87.0
-19.041666666666668	-2.4634821442738795	0.00026941641539840607	163.0
-18.125	-2.4326316999915427	0.00027915748413997934	175.0
-17.208333333333336	-2.2812180678516207	0.0003323197035208972	248.0
-16.291666666666668	-2.1378506536045627	0.00039195823996383063	345.0
-15.375	-2.142915369685339	0.00038967939367356644	341.0
-14.458333333333334	-2.1365936498850604	0.0003925258843451986	346.0
