magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.992465650369383	0.0	0.0
-23.625	-5.992465650369383	0.0	0.0
-22.708333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-21.791666666666664	-3.634277063519612	6.998848519435142e-05	11.0
-20.875	-3.1705197703579313	0.00011937276144063808	32.0
-19.958333333333336	-2.7262797420329243	0.0001990789101935108	89.0
-19.041666666666668	-2.7513904626159555	0.0001934059783374189	84.0
-18.125	-2.9274817216716364	0.0001579153200434844	56.0
-17.208333333333336	-2.8763291992242555	0.00016749449048398762	63.0
-16.291666666666668	-2.8495949459770107	0.00017272995213406405	67.0
-15.375	-2.8244113999587617	0.00017781132805865177	71.0
-14.458333333333334	-2.83057170866358	0.00017655469515293306	70.0
