magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.979844117077832	0.0	0.0
-23.625	-3.83057170866358	5.583149682799587e-05	7.0
-22.708333333333336	-3.561726396371	7.608550499715873e-05	13.0
-21.791666666666664	-3.1843080548435645	0.0001174927579407647	31.0
-20.875	-2.9122417551149	0.00016071049846014672	58.0
-19.958333333333336	-2.7262797420329243	0.0001990789101935108	89.0
-19.041666666666668	-2.654480449607899	0.0002162344574086602	105.0
-18.125	-2.5485649503130294	0.00024427704093604887	134.0
-17.208333333333336	-2.479770096268603	0.0002644113402513371	157.0
-16.291666666666668	-2.4966928013846674	0.0002593096774532146	151.0
-15.375	-2.430157080863687	0.0002799539407774057	176.0
-14.458333333333334	-2.425249746368943	0.0002815400947781184	178.0
