magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.987195709671982	0.0	0.0
-25.375	-5.987195709671982	0.0	0.0
-24.291666666666664	-5.987195709671982	0.0	0.0
-23.208333333333336	-5.987195709671982	0.0	0.0
-22.125	-5.987195709671982	0.0	0.0
-21.041666666666668	-5.987195709671982	0.0	0.0
-19.958333333333336	-5.987195709671982	0.0	0.0
-18.875	-3.970069165442804	4.373762627701597e-05	6.0
-17.791666666666668	-3.0669791784508607	0.00012370868853392369	48.0
-16.708333333333336	-2.829142323450374	0.00016267418154339327	83.0
-15.625	-2.8561258131359675	0.00015769825420886225	78.0
-14.541666666666668	-2.798830409181535	0.0001684513855483557	89.0
