magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.99707071114869	0.0	0.0
-23.82142857142857	-5.99707071114869	0.0	0.0
-23.035714285714285	-5.99707071114869	0.0	0.0
-22.25	-5.99707071114869	0.0	0.0
-21.464285714285715	-5.99707071114869	0.0	0.0
-20.67857142857143	-4.608722959047223	2.4619375988561495e-05	1.0
-19.892857142857142	-5.99707071114869	0.0	0.0
-19.107142857142858	-4.608722959047223	2.4619375988561495e-05	1.0
-18.321428571428573	-3.0066629677192602	0.00015570660539182765	40.0
-17.535714285714285	-2.5834170937824523	0.0002534719894801254	106.0
-16.75	-2.378274037668949	0.0003209973903184369	170.0
-15.964285714285715	-2.2231166854489106	0.0003837780905654679	243.0
-15.178571428571429	-2.1538780990387125	0.00041562290253167617	285.0
-14.392857142857142	-2.0358513568467425	0.0004761160720882495	374.0
