magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.997332502384705	0.0	0.0
-23.625	-5.997332502384705	0.0	0.0
-22.708333333333336	-5.997332502384705	0.0	0.0
-21.791666666666664	-5.997332502384705	0.0	0.0
-20.875	-5.997332502384705	0.0	0.0
-19.958333333333336	-4.073609757349875	4.2204644551819596e-05	4.0
-19.041666666666668	-3.1316017043275615	0.00012484302219296263	35.0
-18.125	-2.7462508229635443	0.00019455379837487243	85.0
-17.208333333333336	-2.508352413929661	0.00025585206037697793	147.0
-16.291666666666668	-2.680034554080287	0.00020996545558305427	99.0
-15.375	-2.4084980202748234	0.00028702261410161814	185.0
-14.458333333333334	-2.4503604669519743	0.0002735173576088148	168.0
