magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.999865077077076	0.0	0.0
-23.625	-5.999865077077076	0.0	0.0
-22.708333333333336	-5.999865077077076	0.0	0.0
-21.791666666666664	-5.999865077077076	0.0	0.0
-20.875	-3.83057170866358	5.583149682799587e-05	7.0
-19.958333333333336	-3.374639753013856	9.437245418408477e-05	20.0
-19.041666666666668	-3.1705197703579313	0.00011937276144063808	32.0
-18.125	-2.5143017464428623	0.00025410560951752333	145.0
-17.208333333333336	-2.596488502630212	0.00023116435852519105	120.0
-16.291666666666668	-2.2990927916213253	0.00032555077222125187	238.0
-15.375	-2.2524238747410292	0.00034352091849061407	265.0
-14.458333333333334	-2.1403756286350664	0.00039082047779597114	343.0
