magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.965443984093903	0.0	0.0
-23.82142857142857	-5.965443984093903	0.0	0.0
-23.035714285714285	-5.965443984093903	0.0	0.0
-22.25	-5.965443984093903	0.0	0.0
-21.464285714285715	-4.608722959047223	2.4619375988561495e-05	1.0
-20.67857142857143	-3.830571708663579	6.030490895770385e-05	6.0
-19.892857142857142	-3.228511717335617	0.0001206098179154077	24.0
-19.107142857142858	-2.9652702825610353	0.00016330646545348706	44.0
-18.321428571428573	-2.689644866671149	0.00022429318970376954	83.0
-17.535714285714285	-2.6087229590472227	0.00024619375988561495	100.0
-16.75	-2.399207944504592	0.00031335349878167573	162.0
-15.964285714285715	-2.303371589600599	0.00034990707646654414	202.0
-15.178571428571429	-2.2249075930667916	0.0003829876096220481	242.0
-14.392857142857142	-2.2339746130371188	0.00037901047578355865	237.0
