magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.986450077803292	0.0	0.0
-25.375	-5.986450077803292	0.0	0.0
-24.291666666666664	-5.986450077803292	0.0	0.0
-23.208333333333336	-5.986450077803292	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-3.903122375812191	4.724203577753508e-05	7.0
-19.958333333333336	-3.1354365591067124	0.0001143329771954594	41.0
-18.875	-2.829142323450374	0.00016267418154339327	83.0
-17.791666666666668	-2.546823291505996	0.00022515321169643533	159.0
-16.708333333333336	-2.528112327786393	0.00023005603378660973	166.0
-15.625	-2.460418685896222	0.00024870267079235266	194.0
-14.541666666666668	-2.41984081238771	0.00026059698445751647	213.0
