magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.979855919149119	0.0	0.0
-25.375	-5.979855919149119	0.0	0.0
-24.291666666666664	-5.979855919149119	0.0	0.0
-23.208333333333336	-5.979855919149119	0.0	0.0
-22.125	-5.979855919149119	0.0	0.0
-21.041666666666668	-3.706827730668223	5.922102593368211e-05	11.0
-19.958333333333336	-2.9420404418425607	0.0001428464892523128	64.0
-18.875	-2.7270311167565096	0.0001829676178073283	105.0
-17.791666666666668	-2.566376827881675	0.00022014122465547863	152.0
-16.708333333333336	-2.3771525535547116	0.00027372440178695574	235.0
-15.625	-2.368009174114842	0.0002766210369692022	240.0
-14.541666666666668	-2.3590543314619152	0.00027948765277594406	245.0
