magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.993299110812697	0.0	0.0
-25.375	-5.993299110812697	0.0	0.0
-24.291666666666664	-5.993299110812697	0.0	0.0
-23.208333333333336	-5.993299110812697	0.0	0.0
-22.125	-4.447190420162467	2.5251930304750423e-05	2.0
-21.041666666666668	-4.049250411490429	3.992680753942058e-05	5.0
-19.958333333333336	-3.1047677393402604	0.00011844205186736422	44.0
-18.875	-3.0761225578907303	0.00012241327389921958	47.0
-17.791666666666668	-2.710793917885824	0.00018642014143949284	109.0
-16.708333333333336	-2.637630705527199	0.00020280302999580712	129.0
-15.625	-2.5255039446788645	0.00023074793319482565	167.0
-14.541666666666668	-2.492947910723142	0.00023956084523652345	180.0
