magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.962577334119914	0.0	0.0
-23.625	-5.962577334119914	0.0	0.0
-22.708333333333336	-5.962577334119914	0.0	0.0
-21.791666666666664	-5.962577334119914	0.0	0.0
-20.875	-3.83057170866358	5.583149682799587e-05	7.0
-19.958333333333336	-3.213271750778881	0.00011363948326903994	29.0
-19.041666666666668	-3.0322170721916497	0.00013997697038870284	44.0
-18.125	-2.6112117594509185	0.00022727896653807988	116.0
-17.208333333333336	-2.6979461433889895	0.00020567999542117385	95.0
-16.291666666666668	-2.4376236455490417	0.00027755771461173643	173.0
-15.375	-2.4061568044599206	0.0002877973054272099	186.0
-14.458333333333334	-2.399207944504593	0.00029010896750612835	189.0
