magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.967578829878216	0.0	0.0
-25.625	-5.967578829878216	0.0	0.0
-24.708333333333336	-5.967578829878216	0.0	0.0
-23.791666666666664	-5.967578829878216	0.0	0.0
-22.875	-5.967578829878216	0.0	0.0
-21.958333333333336	-5.967578829878216	0.0	0.0
-21.041666666666668	-5.967578829878216	0.0	0.0
-20.125	-4.675669748677837	2.1102322275909798e-05	1.0
-19.208333333333336	-3.596488502630212	7.310058867913655e-05	12.0
-18.291666666666668	-3.2285117173356177	0.00011166299365599175	28.0
-17.375	-2.8561258131359684	0.00017143607659649617	66.0
-16.458333333333336	-2.7891790235053553	0.00018517212646237998	77.0
