magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.978367116259143	0.0	0.0
-25.625	-5.978367116259143	0.0	0.0
-24.708333333333336	-5.978367116259143	0.0	0.0
-23.791666666666664	-5.978367116259143	0.0	0.0
-22.875	-4.374639753013856	2.984319036015952e-05	2.0
-21.958333333333336	-4.374639753013856	2.984319036015952e-05	2.0
-21.041666666666668	-3.3969161477250083	9.198289027471806e-05	19.0
-20.125	-2.968099572579901	0.00015070072420945532	51.0
-19.208333333333336	-2.9122417551149	0.00016071049846014672	58.0
-18.291666666666668	-2.6586364093790564	0.00021520230613397554	104.0
-17.375	-2.529541712999599	0.00024968604438592527	140.0
-16.458333333333336	-2.4770126617234145	0.00026525207795405624	158.0
