magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.975348923669392	0.0	0.0
-25.625	-5.975348923669392	0.0	0.0
-24.708333333333336	-5.975348923669392	0.0	0.0
-23.791666666666664	-5.975348923669392	0.0	0.0
-22.875	-4.374639753013856	2.984319036015952e-05	2.0
-21.958333333333336	-3.529541712999599	7.89576600217422e-05	14.0
-21.041666666666668	-2.9854736686493233	0.0001477162559313686	49.0
-20.125	-2.7948561563970458	0.0001839657805494361	76.0
-19.208333333333336	-2.6462859709926274	0.00021828411894063757	107.0
-18.291666666666668	-2.7025418950781384	0.0002045946052832717	94.0
-17.375	-2.5893099180030887	0.0002330827678384565	122.0
-16.458333333333336	-2.555095817471987	0.0002424472246027976	132.0
