magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.990527048875704	0.0	0.0
-25.625	-5.990527048875704	0.0	0.0
-24.708333333333336	-5.990527048875704	0.0	0.0
-23.791666666666664	-5.990527048875704	0.0	0.0
-22.875	-5.990527048875704	0.0	0.0
-21.958333333333336	-5.990527048875704	0.0	0.0
-21.041666666666668	-5.990527048875704	0.0	0.0
-20.125	-5.990527048875704	0.0	0.0
-19.208333333333336	-3.529541712999599	7.89576600217422e-05	14.0
-18.291666666666668	-3.333247067855631	9.897866497180035e-05	22.0
-17.375	-2.8975184982941933	0.0001634578854818009	60.0
-16.458333333333336	-2.8627563920349814	0.00017013236127604684	65.0
