magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.988166982037094	0.0	0.0
-25.625	-5.988166982037094	0.0	0.0
-24.708333333333336	-5.988166982037094	0.0	0.0
-23.791666666666664	-5.988166982037094	0.0	0.0
-22.875	-4.675669748677837	2.1102322275909798e-05	1.0
-21.958333333333336	-3.596488502630212	7.310058867913655e-05	12.0
-21.041666666666668	-3.095886152061027	0.0001300834509327825	38.0
-20.125	-2.8244113999587617	0.00017781132805865177	71.0
-19.208333333333336	-2.6586364093790564	0.00021520230613397554	104.0
-18.291666666666668	-2.6074838869316754	0.0002282565149914762	117.0
-17.375	-2.6933985156382687	0.0002067596878549841	96.0
-16.458333333333336	-2.6303467698911795	0.00022232676088009703	111.0
