magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.994201695135429	0.0	0.0
-25.625	-5.994201695135429	0.0	0.0
-24.708333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-23.791666666666664	-4.073609757349875	4.2204644551819596e-05	4.0
-22.875	-3.471549766021912	8.440928910363919e-05	16.0
-21.958333333333336	-3.260696400707019	0.00010760115306698777	26.0
-21.041666666666668	-2.9432759888548685	0.00015506976589123807	54.0
-20.125	-2.6979461433889895	0.00020567999542117385	95.0
-19.208333333333336	-2.6149719083242253	0.00022629719535420954	115.0
-18.291666666666668	-2.6933985156382687	0.0002067596878549841	96.0
-17.375	-2.675669748677837	0.000211023222759098	100.0
-16.458333333333336	-2.568459779029969	0.00023874552288127615	128.0
