magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.96858731479758	0.0	0.0
-23.625	-5.96858731479758	0.0	0.0
-22.708333333333336	-5.96858731479758	0.0	0.0
-21.791666666666664	-5.96858731479758	0.0	0.0
-20.875	-5.96858731479758	0.0	0.0
-19.958333333333336	-4.374639753013856	2.984319036015952e-05	2.0
-19.041666666666668	-4.1985484939581745	3.6550294339568277e-05	3.0
-18.125	-3.596488502630212	7.310058867913655e-05	12.0
-17.208333333333336	-3.1316017043275615	0.00012484302219296263	35.0
-16.291666666666668	-3.0322170721916497	0.00013997697038870284	44.0
-15.375	-2.7618558962941204	0.00019108965551745976	82.0
-14.458333333333334	-2.6628325239726647	0.0002141651805498386	103.0
