magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.970469277383911	0.0	0.0
-25.625	-5.970469277383911	0.0	0.0
-24.708333333333336	-5.970469277383911	0.0	0.0
-23.791666666666664	-5.970469277383911	0.0	0.0
-22.875	-5.970469277383911	0.0	0.0
-21.958333333333336	-5.970469277383911	0.0	0.0
-21.041666666666668	-4.675669748677837	2.1102322275909798e-05	1.0
-20.125	-3.83057170866358	5.583149682799587e-05	7.0
-19.208333333333336	-3.2954585069662308	0.00010337984392749204	24.0
-18.291666666666668	-2.8832780591795832	0.0001661598517604486	62.0
-17.375	-2.684443672985342	0.0002089023325211166	98.0
-16.458333333333336	-2.6187648973413644	0.00022531114623947242	114.0
