magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.998785743856531	0.0	0.0
-23.625	-5.998785743856531	0.0	0.0
-22.708333333333336	-5.998785743856531	0.0	0.0
-21.791666666666664	-5.998785743856531	0.0	0.0
-20.875	-4.1985484939581745	3.6550294339568277e-05	3.0
-19.958333333333336	-3.596488502630212	7.310058867913655e-05	12.0
-19.041666666666668	-3.420397243574531	8.952957108047855e-05	18.0
-18.125	-3.0035718907421196	0.00014467023278998643	47.0
-17.208333333333336	-2.99442851130225	0.0001462011773582731	48.0
-16.291666666666668	-2.767184729799187	0.0001899209004831882	81.0
-15.375	-2.707186800123902	0.00020350342627479612	93.0
-14.458333333333334	-2.7214272392385124	0.00020019420693234932	90.0
