magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.987028701496997	0.0	0.0
-25.625	-5.987028701496997	0.0	0.0
-24.708333333333336	-5.987028701496997	0.0	0.0
-23.791666666666664	-5.987028701496997	0.0	0.0
-22.875	-4.374639753013856	2.984319036015952e-05	2.0
-21.958333333333336	-3.634277063519612	6.998848519435142e-05	11.0
-21.041666666666668	-3.3969161477250083	9.198289027471806e-05	19.0
-20.125	-3.0736097573498746	0.00013346280462156622	40.0
-19.208333333333336	-2.7948561563970458	0.0001839657805494361	76.0
-18.291666666666668	-2.575299203560274	0.0002368729800652266	126.0
-17.375	-2.383413677321361	0.0002954325118627372	196.0
-16.458333333333336	-2.3493338877490855	0.000307254450175271	212.0
