magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.962196256070747	0.0	0.0
-23.625	-5.962196256070747	0.0	0.0
-22.708333333333336	-4.675669748677837	2.1102322275909798e-05	1.0
-21.791666666666664	-3.561726396371	7.608550499715873e-05	13.0
-20.875	-3.3969161477250083	9.198289027471806e-05	19.0
-19.958333333333336	-2.8244113999587617	0.00017781132805865177	71.0
-19.041666666666668	-2.568459779029969	0.00023874552288127615	128.0
-18.125	-2.4179911738086526	0.0002839027104202793	181.0
-17.208333333333336	-2.3352256338377186	0.00031228585172972953	219.0
-16.291666666666668	-2.368173710764624	0.000300661811847765	203.0
-15.375	-2.4634821442738795	0.00026941641539840607	163.0
-14.458333333333334	-2.460825900630139	0.0002702415824619943	164.0
