magnitude	phi	phi_sigma	hist
-25.5	-5.997435968895529	0.0	0.0
-24.5	-5.997435968895529	0.0	0.0
-23.5	-5.997435968895529	0.0	0.0
-22.5	-5.997435968895529	0.0	0.0
-21.5	-5.997435968895529	0.0	0.0
-20.5	-5.997435968895529	0.0	0.0
-19.5	-3.9353070591835926	4.738242846676725e-05	6.0
-18.5	-3.412428313903255	8.650808300207782e-05	20.0
-17.5	-2.7840393838529436	0.00017834098184363328	85.0
-16.5	-2.8103683225752927	0.00017301616600415564	80.0
-15.5	-2.832644717286445	0.00016863529883698333	76.0
-14.5	-2.9005449529243807	0.00015595466450304314	65.0
