magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.97551338092799	0.0	0.0
-25.625	-5.97551338092799	0.0	0.0
-24.708333333333336	-5.97551338092799	0.0	0.0
-23.791666666666664	-5.97551338092799	0.0	0.0
-22.875	-5.97551338092799	0.0	0.0
-21.958333333333336	-5.97551338092799	0.0	0.0
-21.041666666666668	-4.675669748677837	2.1102322275909798e-05	1.0
-20.125	-4.675669748677837	2.1102322275909798e-05	1.0
-19.208333333333336	-3.499578489622156	8.172894274090046e-05	15.0
-18.291666666666668	-3.1985484939581745	0.00011558217926259552	30.0
-17.375	-2.7166283563567433	0.00020130332459924416	91.0
-16.458333333333336	-2.7262797420329243	0.0001990789101935108	89.0
