magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.997174891510117	0.0	0.0
-25.625	-5.997174891510117	0.0	0.0
-24.708333333333336	-5.997174891510117	0.0	0.0
-23.791666666666664	-5.997174891510117	0.0	0.0
-22.875	-5.997174891510117	0.0	0.0
-21.958333333333336	-4.374639753013856	2.984319036015952e-05	2.0
-21.041666666666668	-3.3534504539439176	9.670298916870945e-05	21.0
-20.125	-3.084605141651338	0.00013178396037461464	39.0
-19.208333333333336	-3.084605141651338	0.00013178396037461464	39.0
-18.291666666666668	-2.767184729799187	0.0001899209004831882	81.0
-17.375	-2.585764637238439	0.0002340360755709943	123.0
-16.458333333333336	-2.4770126617234145	0.00026525207795405624	158.0
