magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.993741233840554	0.0	0.0
-23.82142857142857	-5.993741233840554	0.0	0.0
-23.035714285714285	-5.993741233840554	0.0	0.0
-22.25	-4.608722959047223	2.4619375988561495e-05	1.0
-21.464285714285715	-4.608722959047223	2.4619375988561495e-05	1.0
-20.67857142857143	-3.494779606740386	8.876642249668542e-05	13.0
-19.892857142857142	-2.975254503467636	0.00016144004455166878	43.0
-19.107142857142858	-2.9274817216716356	0.00017056804025131908	48.0
-18.321428571428573	-2.955510445271879	0.0001651517948221488	45.0
-17.535714285714285	-2.8844470894464336	0.00017923176260224187	53.0
-16.75	-2.7336616956555226	0.00021321005031414887	75.0
-15.964285714285715	-2.9652702825610353	0.00016330646545348706	44.0
-15.178571428571429	-2.809382409593641	0.00019541023889798606	63.0
-14.392857142857142	-2.8378709474050785	0.00018910501518971763	59.0
