magnitude	phi	phi_sigma	hist
-24.607142857142858	-5.9602660289991904	0.0	0.0
-23.82142857142857	-5.9602660289991904	0.0	0.0
-23.035714285714285	-5.9602660289991904	0.0	0.0
-22.25	-5.9602660289991904	0.0	0.0
-21.464285714285715	-4.608722959047223	2.4619375988561495e-05	1.0
-20.67857142857143	-4.307692963383242	3.48170554201862e-05	2.0
-19.892857142857142	-3.529541712999598	8.528402012565954e-05	12.0
-19.107142857142858	-3.13160170432756	0.0001348458758063618	30.0
-18.321428571428573	-2.909752954711204	0.00017408527710093094	50.0
-17.535714285714285	-2.689644866671149	0.00022429318970376954	83.0
-16.75	-2.745400098926767	0.0002103480406536499	73.0
-15.964285714285715	-2.795809602404367	0.00019848775482205516	65.0
-15.178571428571429	-2.7574646103281473	0.00020744654940176095	71.0
-14.392857142857142	-2.7336616956555226	0.00021321005031414887	75.0
